Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
84E_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	494.31	269.51	2.745	5.4154	1	1.8848	1.542	0.3531	10.625	85	11.8435	29	0	29	41.125	329	16.7113	67	23	44	10.5	84	11.9642	29	0	29	98.8202	35.3491	0.9938	11.808	10.6456	0.2042	1.0514	2.8371	29	0	11.7391	6.3959	67	7	0.3676	2.7188	29	0	0.7388	1.0888	5	0	10.7796	2.2362	21	7	0.0367	0.2279	2	0	0.021	4	208.1976	225.3965	245.1044	136.893	13269.5283	14630.6572
84E_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	289.03	282.14	12.1564	14.0691	0.7718	5.4217	3.287	0.7926	0.6	21	1.6306	8	0	8	37.9429	1328	7.3602	58	27	31	0.6	21	1.6663	8	0	8	152.9359	44.3933	0.9752	15.0211	12.5243	0.4913	0.798	1.4133	8	0	18.1202	9.1106	58	6	0.1483	0.7432	8	0	0.8174	1.3913	7	0	16.1713	6.5916	43	6	0.1039	0.5646	6	0	0.083	4	176.9626	179.0128	205.9784	143.8464	11314.7461	14307.167
84E_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	184.63	380.82	5.49	10.0314	0.6856	4.234	1.5498	0.9103	5	80	7.1368	23	0	23	42.625	682	12.6695	70	26	44	4.9375	79	7.3255	23	0	23	127.0545	40.4467	0.976	14.4648	11.4454	0.6074	0.7477	2.0945	23	0	20.9446	10.9165	70	3	0.5108	2.0751	23	0	0.5275	1.0706	8	0	19.822	9.5844	37	3	0.2816	0.9197	6	0	0.0384	2	117.1351	117.1351	143.8464	90.4238	6345.3921	6345.3921
84E_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	702.77	397.68	0.3921	2.3107	0.9229	0.8823	0.609	0	5.6667	17	1.5275	7	4	3	40.6667	122	7.3711	49	35	14	0.3333	1	0.5774	1	0	1	78.0366	31.8484	0.9668	10.7497	8.767	0.4805	2.8762	3.2552	20	0	31.1238	22.3315	107	9	0.6832	2.3666	19	0	2.8342	3.2579	20	0	30.9799	22.4567	107	9	0.6884	2.3833	19	0	0.0026	4	120.8381	91.3563	245.1044	55.5354	5536.9517	14630.6572
84E_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	456.98	401.12	3.9214	7.6816	0.8351	2.9061	1.8379	0.6575	20.75	249	19.5779	66	0	66	79	948	28.8633	137	42	95	16.6667	200	20.3976	64	0	64	109.8002	37.4152	0.9856	12.4432	10.6456	0.4185	4.9288	5.7317	66	0	24.4662	13.8014	137	13	0.726	5.2664	64	0	4.223	2.6235	11	0	22.0335	5.0707	42	13	0.0149	0.1213	1	0	0.0321	5	149.3298	177.3272	205.9784	26.5145	8845.5889	14307.167
84E_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	451.17	427.09	3.1371	6.1368	1	2.3022	1.5551	0.5477	13.9	139	10.2356	38	4	34	48.8	488	16.8444	84	28	56	11.1	111	11.9392	39	0	39	103.918	36.2589	0.9933	12.332	10.6456	0.3881	2.9774	3.7173	38	0	15.094	8.418	84	7	0.4361	3.0563	39	0	2.5508	2.4086	9	0	13.7773	4.1635	28	7	0.0195	0.2068	3	0	0.0213	4	119.7274	130.1873	192.0206	26.5145	4483.8555	7001.5234
84E_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	259.21	431.27	36.0772	24.861	0.7335	8.8303	6.3651	0.7488	13.2396	1271	6.7773	35	0	35	42.1979	4051	5.1414	53	27	26	0.3646	35	1.0374	4	0	4	225.8746	54.8177	0.9446	18.6203	15.6553	0.4759	5.6163	5.8512	35	0	22.7257	14.554	53	1	0.217	0.7026	4	0	4.0917	4.2441	17	0	18.8312	12.5634	50	1	0.1875	0.6115	4	0	0.1596	5	156.3025	152.2031	199.936	90.4238	7329.397	14307.167
84E_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	692.67	450.57	3.5293	6.5824	1	2.4496	1.6773	0.7921	9.1111	82	7.4237	23	0	23	91.7778	826	19.1493	116	63	53	8.7778	79	8.0898	23	0	23	64.7037	30.9411	0.8493	11.4997	7.38	0.7265	2.1607	3.4647	23	0	28.494	28.2773	116	3	1.1071	3.4137	23	0	1.7673	2.6438	15	0	24.9119	24.1981	112	3	0.673	2.3371	15	0	0.0431	2	29.9594	29.9594	55.5354	4.3834	63.3764	63.3764
84E_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	687.15	456.57	6.2743	11.4925	0.597	5.1732	1.6596	0.9517	5.1667	93	2.5952	9	2	7	35.5	639	13.017	63	15	48	0.7778	14	1.8005	6	0	6	99.6044	37.2464	0.9022	12.7856	10.6272	0.433	1.7422	2.1171	9	0	11.8242	10.7662	64	2	0.2188	0.7663	6	0	1.4832	1.8389	9	0	10.0336	8.1711	64	2	0.1765	0.6114	5	0	0.059	3	47.6364	59.3217	79.204	4.3834	990.0989	1916.8213
84E_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	614.25	483.23	10.98	12.9016	0.8289	5.2407	2.7585	0.8692	13.6	408	4.2959	29	6	23	48.4667	1454	11.7642	82	33	49	2.0333	61	4.2221	20	0	20	143.5245	42.8698	0.9814	15.0932	12.5243	0.5451	10.6076	4.644	29	0	26.0272	9.7192	82	13	0.2316	1.3584	20	0	10.3412	4.5857	21	0	24.0297	6.4802	44	13	0.0712	0.3945	5	0	0.0762	6	169.8115	174.8118	244.9705	79.204	7540.8242	14630.6572
