Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
43_5_FITC.tif	e514fc43-2bc8-4b2a-a57a-855c9147eddd	Cell		Positive	Annotation	Polygon	577.84	736.75	27.9568	34.0299	0.3034	14.6534	3.2367	NaN	20.5328	2813	12.6439	77	3	74	133.2701	18258	29.431	204	84	120	7.5693	1037	12.7081	65	0	65	156.1439	67.0696	0.4362	32.0277	6.8245	NaN	15.4026	8.0547	77	0	67.6437	36.7213	204	27	1.8477	6.1704	65	0	14.2654	6.075	34	0	53.0955	16.9897	124	27	0.5793	1.4316	11	0	0.1783	4	243.5666	161.4074	532.3474	119.1042	6938.4565	13556.7305
43_5_FITC.tif	c027fc49-f1c4-4567-83cb-38d8232d17ea	Cell		Positive	Annotation	Polygon	535.9	847.81	8.0764	19.604	0.2641	9.6285	1.1477	NaN	16.2326	698	14.8161	49	0	49	89.9302	3867	24.2452	136	51	85	11.4884	494	13.26	41	0	41	94.6389	54.343	0.4027	26.0067	4.5559	NaN	10.0327	6.997	49	0	37.22	20.4048	136	10	1.6885	5.3413	41	0	9.3918	5.2364	23	0	31.7716	9.0758	75	10	0.6755	1.6466	11	0	0.0854	5	644.2952	427.7256	1460.6334	51.1497	97946.3516	225881.25
43_5_FITC.tif	3957ea68-c437-4af3-b789-3bc93793f086	Cell		Positive	Annotation	Polygon	585.04	861.84	14.7032	24.2982	0.3129	11.6762	1.6657	NaN	16.2973	1206	7.1073	36	0	36	98.6757	7302	15.3856	129	69	60	3.4054	252	3.6674	15	0	15	114.3122	58.9579	0.4133	28.0072	5.1772	NaN	14.2708	6.2134	36	0	53.3231	21.3886	129	21	1.009	2.2666	17	0	13.9583	6.0117	32	0	46.3312	11.1948	98	21	0.6396	1.6904	17	0	0.1287	5	304.8186	114.1476	1143.3979	51.1497	14804.9072	38568.2031
43_5_FITC.tif	33d3163b-046b-413e-92d5-511816dc0db0	Cell		Positive	Annotation	Polygon	655.4	917.12	7.8693	13.8353	0.5166	5.9677	1.7916	NaN	7.9268	325	5.7201	20	0	20	96.2439	3946	10.5351	116	75	41	2.3902	98	3.7408	17	0	17	91.5326	47.5359	0.509	22.0529	5.1772	NaN	10.0068	5.6526	26	0	59.0905	21.0657	116	18	0.7805	2.0044	17	0	10.2195	5.6095	26	0	55.2918	17.9499	101	18	0.616	1.6544	13	0	0.0857	4	161.1832	143.2252	327.4648	30.8174	1857.7545	4221.9565
43_5_FITC.tif	13ed258d-4394-4732-97c6-25a3ab5ff21a	Cell		Positive	Annotation	Polygon	660.37	947.34	3.7276	8.9568	0.5839	3.965	1.3127	NaN	18.35	367	6.8	34	7	27	97.2	1944	6.161	105	82	23	2.05	41	3.0689	11	0	11	75.794	44.376	0.4837	21.0081	4.763	NaN	14.9674	6.2377	34	0	68.4918	19.9326	105	28	1.0353	2.2137	13	0	14.773	6.1581	33	0	66.842	19.1806	101	28	0.977	2.1458	13	0	0.045	4	373.8029	205.4562	1053.4816	30.8174	18874.0723	38568.2031
43_5_FITC.tif	d4101f79-5d62-4712-9d1e-afcadfea06db	Cell		Positive	Annotation	Polygon	195.4	1106.6	2.485	9.0487	0.3814	4.3468	0.7654	NaN	6.5333	98	4.3894	12	0	12	76.1333	1142	2.8999	81	70	11	0.7333	11	1.0998	3	0	3	68.1317	44.0579	0.4411	21.0027	4.1417	NaN	5.2024	4.5711	19	0	53.0332	16.3513	86	14	0.7583	1.7979	15	0	5.1392	4.5766	19	0	51.9367	15.9093	86	14	0.7595	1.8255	15	0	0.0337	4	914.6374	863.9444	1502.9351	427.7256	109953.0156	219991.5781
43_5_FITC.tif	3db766c4-f70f-434c-950b-d91fc8c9b816	Cell		Positive	Annotation	Polygon	735.13	1234.6	5.1772	14.9904	0.2895	6.806	1.12	NaN	18.7586	544	7.4673	32	0	32	87.8621	2548	9.6092	102	65	37	1.6207	47	2.6914	10	0	10	85.5271	50.2377	0.4258	24.0018	4.763	NaN	14.5521	6.8284	32	0	58.5956	17.6789	102	31	0.8499	2.0719	14	0	14.2344	6.6813	31	0	56.3854	16.1154	99	31	0.7917	2.01	14	0	0.0559	4	541.733	547.4736	775.2195	296.7649	12373.6562	35576.7734
43_5_FITC.tif	85fb1256-43a2-4788-92f2-0cd88013aced	Cell		Positive	Annotation	Polygon	686.02	1998.1	16.3599	24.9459	0.3304	9.9019	2.5551	NaN	9.1279	785	6.9516	33	0	33	109.0698	9380	15.5887	136	68	68	1.4535	125	2.0901	9	0	9	90.083	52.6507	0.4084	24.1428	5.8351	NaN	9.5057	6.7211	33	0	60.2632	34.4406	136	9	0.6682	1.8052	20	0	9.5983	6.6703	33	0	48.3048	26.2654	120	9	0.4758	1.6763	20	0	0.1809	8	648.596	675.6666	1162.863	8.2687	52651.7461	225881.25
43_5_FITC.tif	273d9c2e-b67f-4f0b-a3a5-f9b3e3f9f7dc	Cell		Positive	Annotation	Polygon	689.86	2009.1	13.2536	20.208	0.4078	9.0383	1.8151	NaN	17.8182	1176	4.9735	29	6	23	114.303	7544	12.7061	138	75	63	2.6818	177	3.2542	12	0	12	66.4751	49.6191	0.3393	24.0029	3.7802	NaN	29.0854	17.391	79	6	79.0976	24.2778	138	35	0.7317	1.9271	12	0	31.9237	18.2367	79	7	70.229	17.4894	110	35	0.2405	0.9009	8	0	0.191	4	296.7531	204.4484	775.2195	2.8962	505.166	1125.054
43_5_FITC.tif	35362f35-a9d2-43db-8e0f-3ad26339201e	Cell		Positive	Annotation	Polygon	686.66	2015.5	10.7685	20.0772	0.3357	9.2671	1.6567	NaN	24.5	1372	5.8434	34	12	22	110.25	6174	9.0378	126	87	39	1.1071	62	2.1378	9	0	9	50.3222	38.2323	0.4326	18.0133	3.728	NaN	21.0691	7.0912	38	5	73.7724	26.8495	126	31	0.5528	1.4297	9	0	20.0579	7.1226	38	5	63.0211	20.0066	110	31	0.3895	1.0964	9	0	0.2185	4	246.3331	204.245	573.9464	2.8962	3008.686	11158.7432
